occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Phylloscopus xanthoschistos","Phylloscopus xanthoschistos (J.E.Gray & G.R.Gray, 1847)","7341390","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus xanthoschistos","Phylloscopus xanthoschistos","(J.E.Gray & G.R.Gray, 1847) ","7341390",
,"Picus chlorolophus","Picus chlorolophus Vieillot, 1818","9573362","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus chlorolophus","Picus chlorolophus","Vieillot, 1818","9573362",
,"Pycnonotus cafer","Pycnonotus cafer (Linnaeus, 1766)","2486131","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus cafer","Pycnonotus cafer","(Linnaeus, 1766) ","2486131",
,"Minla ignotincta","Minla ignotincta Hodgson, 1837","2493356","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Minla","Minla ignotincta","Minla ignotincta","Hodgson, 1837","2493356",
,"Leiothrix lutea","Leiothrix lutea (Scopoli, 1786)","5231398","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Leiothrix","Leiothrix lutea","Leiothrix lutea","(Scopoli, 1786) ","5231398",
,"Heterophasia capistrata","Heterophasia capistrata (Vigors, 1831)","2493392","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Heterophasia","Heterophasia capistrata","Heterophasia capistrata","(Vigors, 1831) ","2493392",
,"Yuhina occipitalis","Yuhina occipitalis Hodgson, 1836","2493177","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Yuhina","Yuhina occipitalis","Yuhina occipitalis","Hodgson, 1836","2493177",
,"Pericrocotus brevirostris","Pericrocotus brevirostris (Vigors, 1831)","2486812","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Pericrocotus","Pericrocotus brevirostris","Pericrocotus brevirostris","(Vigors, 1831) ","2486812",
,"Dicrurus bracteatus","Dicrurus bracteatus Gould, 1843","2493965","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Dicruridae","Dicrurus","Dicrurus bracteatus","Dicrurus bracteatus","Gould, 1843","2493965",
,"Stigmatopelia chinensis","Stigmatopelia chinensis (Scopoli, 1786)","11110681","EXACT","99","SYNONYM","SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Spilopelia","Spilopelia chinensis","Stigmatopelia chinensis","(Scopoli, 1786) ","11110681","8718083"
,"Sitta frontalis","Sitta frontalis Swainson, 1820","9610931","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta frontalis","Sitta frontalis","Swainson, 1820","9610931",
,"Yuhina flavicollis","Yuhina flavicollis Hodgson, 1836","2493186","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Yuhina","Yuhina flavicollis","Yuhina flavicollis","Hodgson, 1836","2493186",
,"Garrulax leucolophus","Garrulax leucolophus (Hardwicke, 1816)","2493447","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Garrulax","Garrulax leucolophus","Garrulax leucolophus","(Hardwicke, 1816) ","2493447",
,"Abroscopus superciliaris","Abroscopus superciliaris (Blyth, 1859)","2493238","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Abroscopus","Abroscopus superciliaris","Abroscopus superciliaris","(Blyth, 1859) ","2493238",
,"Mniotilta varia","Mniotilta varia (Linnaeus, 1766)","2489613","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Mniotilta","Mniotilta varia","Mniotilta varia","(Linnaeus, 1766) ","2489613",
,"Polioptila caerulea","Polioptila caerulea (Linnaeus, 1766)","2487596","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Polioptilidae","Polioptila","Polioptila caerulea","Polioptila caerulea","(Linnaeus, 1766) ","2487596",
,"Vireo solitarius","Vireo solitarius (A.Wilson, 1810)","2487456","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo solitarius","Vireo solitarius","(A.Wilson, 1810) ","2487456",
,"Parus carolinensis","Parus carolinensis Audubon, 1834","2487850","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile carolinensis","Parus carolinensis","Audubon, 1834","2487850","2487844"
,"Thryothorus ludovicianus","Thryothorus ludovicianus (Latham, 1790)","2493801","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Thryothorus","Thryothorus ludovicianus","Thryothorus ludovicianus","(Latham, 1790) ","2493801",
,"Picoides pubescens","Picoides pubescens (Linnaeus, 1766)","2477781","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates pubescens","Picoides pubescens","(Linnaeus, 1766) ","2477781","9149595"
,"Sayornis phoebe","Sayornis phoebe (Latham, 1790)","2483606","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis phoebe","Sayornis phoebe","(Latham, 1790) ","2483606",
,"Baeolophus bicolor","Baeolophus bicolor (Linnaeus, 1766)","2487887","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus bicolor","Baeolophus bicolor","(Linnaeus, 1766) ","2487887",
,"Dendroica coronata","Dendroica coronata (Linnaeus, 1766)","2489896","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga coronata","Dendroica coronata","(Linnaeus, 1766) ","2489896","7341805"
,"Cardinalis cardinalis","Cardinalis cardinalis (Linnaeus, 1758)","2490384","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis","Cardinalis cardinalis","(Linnaeus, 1758) ","2490384",
,"Vermivora celata","Vermivora celata (Say, 1822)","5230818","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata","Vermivora celata","(Say, 1822) ","5230818","8169649"
,"Dendroica pinus","Dendroica pinus (Linnaeus, 1766)","2489924","EXACT","99","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga pinus","Dendroica pinus","(Linnaeus, 1766) ","2489924","7341816"
,"Melanerpes carolinus","Melanerpes carolinus (Linnaeus, 1758)","2478106","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Melanerpes carolinus","Melanerpes carolinus","(Linnaeus, 1758) ","2478106",
,"Regulus calendula","Regulus calendula (Linnaeus, 1766)","2484597","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus calendula","Regulus calendula","(Linnaeus, 1766) ","2484597",
,"Vireo griseus","Vireo griseus (Boddaert, 1783)","2487413","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo griseus","Vireo griseus","(Boddaert, 1783) ","2487413",
,"Sphyrapicus varius","Sphyrapicus varius (Linnaeus, 1766)","2478605","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Sphyrapicus","Sphyrapicus varius","Sphyrapicus varius","(Linnaeus, 1766) ","2478605",
,"Dendroica dominica","Dendroica dominica (Linnaeus, 1766)","2489889","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga dominica","Dendroica dominica","(Linnaeus, 1766) ","2489889","7341800"
,"Zosterops japonicus","Zosterops japonicus Temminck & Schlegel, 1845","9300456","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops japonicus","Zosterops japonicus","Temminck & Schlegel, 1845","9300456",
,"Parus major","Parus major Linnaeus, 1758","9705453","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","Parus major","Linnaeus, 1758","9705453",
,"Parus spilonotus","Parus spilonotus Bonaparte, 1850","2487943","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus spilonotus","Parus spilonotus","Bonaparte, 1850","2487943",
,"Sitta frontalis","Sitta frontalis Swainson, 1820","9610931","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta frontalis","Sitta frontalis","Swainson, 1820","9610931",
,"Minla cyanouroptera","Minla cyanouroptera (Hodgson, 1837)","2493355","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Minla","Minla cyanouroptera","Minla cyanouroptera","(Hodgson, 1837) ","2493355",
,"Orthotomus sutorius","Orthotomus sutorius (Pennant, 1769)","2493028","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Orthotomus","Orthotomus sutorius","Orthotomus sutorius","(Pennant, 1769) ","2493028",
,"Aethopyga christinae","Aethopyga christinae Swinhoe, 1869","2484678","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Aethopyga","Aethopyga christinae","Aethopyga christinae","Swinhoe, 1869","2484678",
,"Phylloscopus inornatus","Phylloscopus inornatus (Blyth, 1842)","2493095","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus inornatus","Phylloscopus inornatus","(Blyth, 1842) ","2493095",
,"Phylloscopus proregulus","Phylloscopus proregulus (Pallas, 1811)","2493090","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus proregulus","Phylloscopus proregulus","(Pallas, 1811) ","2493090",
,"Erpornis zantholeuca","Erpornis zantholeuca Blyth, 1844","7341397","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Erpornis","Erpornis zantholeuca","Erpornis zantholeuca","Blyth, 1844","7341397",
,"Terpsiphone paradisi","Terpsiphone paradisi (Linnaeus, 1758)","2486687","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Terpsiphone","Terpsiphone paradisi","Terpsiphone paradisi","(Linnaeus, 1758) ","2486687",
,"Hypothymis azurea","Hypothymis azurea (Boddaert, 1783)","2486625","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Hypothymis","Hypothymis azurea","Hypothymis azurea","(Boddaert, 1783) ","2486625",
,"Aegithina viridissima","Aegithina viridissima (Bonaparte, 1850)","2484095","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithinidae","Aegithina","Aegithina viridissima","Aegithina viridissima","(Bonaparte, 1850) ","2484095",
,"Muscicapa dauurica","Muscicapa dauurica Pallas, 1811","2492577","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Muscicapa","Muscicapa latirostris","Muscicapa dauurica","Pallas, 1811","2492577","4408780"
,"Phylloscopus borealis","Phylloscopus borealis (J.H.Blasius, 1858)","2493071","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus borealis","Phylloscopus borealis","(J.H.Blasius, 1858) ","2493071",
,"Macronous gularis","Macronous gularis (Horsfield, 1822)","2493169","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Timaliidae","Macronus","Macronus gularis","Macronous gularis","(Horsfield, 1822) ","2493169","6100835"
,"Stachyris erythroptera","Stachyris erythroptera (Blyth, 1842)","2493420","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Timaliidae","Stachyris","Stachyris erythroptera","Stachyris erythroptera","(Blyth, 1842) ","2493420",
,"Malacocincla abbotti","Malacocincla abbotti Blyth, 1845","2493399","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pellorneidae","Malacocincla","Malacocincla abbotti","Malacocincla abbotti","Blyth, 1845","2493399",
,"Prinia rufescens","Prinia rufescens Blyth, 1847","2492760","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Prinia","Prinia rufescens","Prinia rufescens","Blyth, 1847","2492760",
,"Hemipus picatus","Hemipus picatus (Sykes, 1832)","2486748","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Tephrodornithidae","Hemipus","Hemipus picatus","Hemipus picatus","(Sykes, 1832) ","2486748",
,"Ficedula nigrorufa","Ficedula nigrorufa (Jerdon, 1839)","5231280","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula nigrorufa","Ficedula nigrorufa","(Jerdon, 1839) ","5231280",
,"Hypsipetes leucocephalus","Hypsipetes leucocephalus (Gmelin, 1789)","5230300","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Hypsipetes","Hypsipetes leucocephalus","Hypsipetes leucocephalus","(Gmelin, 1789) ","5230300",
,"Parus xanthogenys","Parus xanthogenys Vigors, 1831","2487936","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus xanthogenys","Parus xanthogenys","Vigors, 1831","2487936",
,"Acrocephalus dumetorum","Acrocephalus dumetorum Blyth, 1849","2493145","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus dumetorum","Acrocephalus dumetorum","Blyth, 1849","2493145",
,"Alcippe poioicephala","Alcippe poioicephala (Jerdon, 1844)","5231383","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pellorneidae","Alcippe","Alcippe poioicephala","Alcippe poioicephala","(Jerdon, 1844) ","5231383",
,"Nectarinia minima","Nectarinia minima (Sykes, 1832)","5229972","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Nectariniidae","Leptocoma","Leptocoma minima","Nectarinia minima","(Sykes, 1832) ","5229972","6088706"
,"Turdus merula","Turdus merula Linnaeus, 1758","2490719","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus merula","Turdus merula","Linnaeus, 1758","2490719",
,"Dinopium javanense","Dinopium javanense (Ljungh, 1797)","5228803","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dinopium","Dinopium javanense","Dinopium javanense","(Ljungh, 1797) ","5228803",
,"Gallus sonneratii","Gallus sonneratii Temminck, 1813","5227765","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus sonneratii","Gallus sonneratii","Temminck, 1813","5227765",
,"Strophocincla cachinnans","Strophocincla cachinnans (Jerdon, 1839)","5788982","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Trochalopteron","Trochalopteron cachinnans","Strophocincla cachinnans","(Jerdon, 1839) ","5788982","6101123"
,"Culicicapa ceylonensis","Culicicapa ceylonensis (Swainson, 1820)","2492634","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Stenostiridae","Culicicapa","Culicicapa ceylonensis","Culicicapa ceylonensis","(Swainson, 1820) ","2492634",
,"Pomatorhinus horsfieldii","Pomatorhinus horsfieldii Sykes, 1832","2493332","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Timaliidae","Pomatorhinus","Pomatorhinus horsfieldii","Pomatorhinus horsfieldii","Sykes, 1832","2493332",
,"Lanius schach","Lanius schach Linnaeus, 1758","9273219","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius schach","Lanius schach","Linnaeus, 1758","9273219",
,"Eumyias albicaudatus","Eumyias albicaudatus (Jerdon, 1840)","5788902","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Eumyias","Eumyias albicaudatus","Eumyias albicaudatus","(Jerdon, 1840) ","5788902",
,"Columba elphinstonii","Columba elphinstonii (Sykes, 1832)","5231876","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba elphinstonii","Columba elphinstonii","(Sykes, 1832) ","5231876",
,"Zosterops palpebrosus","Zosterops palpebrosus (Temminck, 1824)","2489362","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops","Zosterops palpebrosus","Zosterops palpebrosus","(Temminck, 1824) ","2489362",
,"Dicaeum concolor","Dicaeum concolor Jerdon, 1840","2484722","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Dicaeidae","Dicaeum","Dicaeum concolor","Dicaeum concolor","Jerdon, 1840","2484722",
,"Pycnonotus jocosus","Pycnonotus jocosus (Linnaeus, 1758)","2486151","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus jocosus","Pycnonotus jocosus","(Linnaeus, 1758) ","2486151",
,"Pericrocotus flammeus","Pericrocotus flammeus (J.R.Forster, 1781)","2486819","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Campephagidae","Pericrocotus","Pericrocotus flammeus","Pericrocotus flammeus","(J.R.Forster, 1781) ","2486819",
,"Phylloscopus magnirostris","Phylloscopus magnirostris Blyth, 1843","2493069","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus magnirostris","Phylloscopus magnirostris","Blyth, 1843","2493069",
,"Phylloscopus affinis","Phylloscopus affinis (Tickell, 1833)","2493068","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus affinis","Phylloscopus affinis","(Tickell, 1833) ","2493068",
,"Sitta frontalis","Sitta frontalis Swainson, 1820","9610931","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta frontalis","Sitta frontalis","Swainson, 1820","9610931",
,"Myiomela major","Myiomela major (Jerdon, 1844)","5788901","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Myiomela","Myiomela major","Myiomela major","(Jerdon, 1844) ","5788901",
,"Megalaima viridis","Megalaima viridis (Boddaert, 1783)","2478729","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Piciformes","Megalaimidae","Psilopogon","Psilopogon viridis","Megalaima viridis","(Boddaert, 1783) ","2478729","7796884"
,"Iole indica","Iole indica (Jerdon, 1839)","5230292","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Acritillas","Acritillas indica","Iole indica","(Jerdon, 1839) ","5230292","6100817"
,"Acanthiza lineata","Acanthiza lineata Gould, 1838","5230401","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza lineata","Acanthiza lineata","Gould, 1838","5230401",
,"Acanthiza nana","Acanthiza nana Vigors & Horsfield, 1827","5230410","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza nana","Acanthiza nana","Vigors & Horsfield, 1827","5230410",
,"Acanthiza pusilla","Acanthiza pusilla (Shaw, 1790)","5230402","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza pusilla","Acanthiza pusilla","(Shaw, 1790) ","5230402",
,"Acanthiza reguloides","Acanthiza reguloides Vigors & Horsfield, 1827","5230407","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Acanthiza reguloides","Acanthiza reguloides","Vigors & Horsfield, 1827","5230407",
,"Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris (Latham, 1801)","5230466","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Acanthorhynchus","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","(Latham, 1801) ","5230466",
,"Anthochaera carunculata","Anthochaera carunculata (Shaw, 1790)","2487144","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Anthochaera","Anthochaera carunculata","Anthochaera carunculata","(Shaw, 1790) ","2487144",
,"Colluricincla harmonica","Colluricincla harmonica (Latham, 1802)","2482357","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Colluricincla","Colluricincla harmonica","Colluricincla harmonica","(Latham, 1802) ","2482357",
,"Cormobates leucophaea","Cormobates leucophaea (Latham, 1802)","2494108","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Climacteridae","Cormobates","Cormobates leucophaea","Cormobates leucophaea","(Latham, 1802) ","2494108",
,"Gymnorhina tibicen","Gymnorhina tibicen (Latham, 1802)","2489450","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Cracticidae","Gymnorhina","Gymnorhina tibicen","Gymnorhina tibicen","(Latham, 1802) ","2489450",
,"Daphoenositta chrysoptera","Daphoenositta chrysoptera (Latham, 1802)","2487489","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Neosittidae","Daphoenositta","Daphoenositta chrysoptera","Daphoenositta chrysoptera","(Latham, 1802) ","2487489",
,"Dicaeum hirundinaceum","Dicaeum hirundinaceum (Shaw, 1792)","2484700","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Dicaeidae","Dicaeum","Dicaeum hirundinaceum","Dicaeum hirundinaceum","(Shaw, 1792) ","2484700",
,"Entomyzon cyanotis","Entomyzon cyanotis (Latham, 1801)","2487049","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Entomyzon","Entomyzon cyanotis","Entomyzon cyanotis","(Latham, 1801) ","2487049",
,"Eopsaltria australis","Eopsaltria australis (Shaw, 1790)","2489301","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Eopsaltria","Eopsaltria australis","Eopsaltria australis","(Shaw, 1790) ","2489301",
,"Lichenostomus fuscus","Lichenostomus fuscus (Gould, 1837)","2486883","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Ptilotula","Ptilotula fusca","Lichenostomus fuscus","(Gould, 1837) ","2486883","7868408"
,"Lichenostomus chrysops","Lichenostomus chrysops (Latham, 1801)","2486916","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Caligavis","Caligavis chrysops","Lichenostomus chrysops","(Latham, 1801) ","2486916","8197121"
,"Lichenostomus leucotis","Lichenostomus leucotis (Latham, 1801)","2486886","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Nesoptilotis","Nesoptilotis leucotis","Lichenostomus leucotis","(Latham, 1801) ","2486886","7945392"
,"Lichenostomus melanops","Lichenostomus melanops (Latham, 1801)","2486903","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Lichenostomus","Lichenostomus melanops","Lichenostomus melanops","(Latham, 1801) ","2486903",
,"Lichenostomus penicillatus","Lichenostomus penicillatus (Gould, 1837)","2486891","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Ptilotula","Ptilotula penicillata","Lichenostomus penicillatus","(Gould, 1837) ","2486891","7878644"
,"Lichmera indistincta","Lichmera indistincta (Vigors & Horsfield, 1827)","2487341","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Lichmera","Lichmera indistincta","Lichmera indistincta","(Vigors & Horsfield, 1827) ","2487341",
,"Manorina melanocephala","Manorina melanocephala (Latham, 1801)","2487365","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Manorina","Manorina melanocephala","Manorina melanocephala","(Latham, 1801) ","2487365",
,"Meliphaga lewinii","Meliphaga lewinii (Swainson, 1837)","2486847","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Meliphaga","Meliphaga lewinii","Meliphaga lewinii","(Swainson, 1837) ","2486847",
,"Melithreptus albogularis","Melithreptus albogularis Gould, 1848","5230492","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus albogularis","Melithreptus albogularis","Gould, 1848","5230492",
,"Melithreptus brevirostris","Melithreptus brevirostris (Vigors & Horsfield, 1827)","5230485","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus brevirostris","Melithreptus brevirostris","(Vigors & Horsfield, 1827) ","5230485",
,"Melithreptus lunatus","Melithreptus lunatus (Vieillot, 1802)","5230482","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Melithreptus","Melithreptus lunatus","Melithreptus lunatus","(Vieillot, 1802) ","5230482",
,"Myiagra rubecula","Myiagra rubecula (Latham, 1802)","2486638","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Myiagra rubecula","Myiagra rubecula","(Latham, 1802) ","2486638",
,"Myzomela obscura","Myzomela obscura Gould, 1843","9359990","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Myzomela","Myzomela obscura","Myzomela obscura","Gould, 1843","9359990",
,"Myzomela sanguinolenta","Myzomela sanguinolenta (Latham, 1801)","2487319","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Myzomela","Myzomela sanguinolenta","Myzomela sanguinolenta","(Latham, 1801) ","2487319",
,"Neochmia temporalis","Neochmia temporalis (Latham, 1802)","2493737","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Neochmia","Neochmia temporalis","Neochmia temporalis","(Latham, 1802) ","2493737",
,"Pachycephala pectoralis","Pachycephala pectoralis (Latham, 1802)","5959188","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","Pachycephala","Pachycephala pectoralis","Pachycephala pectoralis","(Latham, 1802) ","5959188",
